BE50   (Beech 50 Twin Bonanza),FOCA-18,TIO-540-J2B2,2,BE50-A,
BE55   (Beech 55 Baron),FOCA-3,IO-540-T4A5D,2,BE55-A,
BE56   (Beech 56 Turbo Baron),FOCA-18,TIO-540-J2B2,2,BE56-A,
BE58   (Beech 58 Baron),FOCA-20,TSIO-520-WB,2,BE58-A,
BE60   (Beech 60 Duke),FOCA-18,TIO-540-J2B2,2,BE60-A,
BE65   (Beech 65 Queen Air),FOCA-18,TIO-540-J2B2,2,BE65-A,
BE70   (Beech 70 Queen Air),FOCA-18,TIO-540-J2B2,2,BE70-A,
BE76   (Beech 76 Duchess),FOCA-7,O-360-A3A,2,BE76-A,
BE77   (Beech 77 Skipper),FOCA-16,Rotax 914,1,BE77-A,
BE80   (Beech 80 Zamir),FOCA-18,TIO-540-J2B2,2,BE80-A,
BE88   (Beech 88 Queen Air),FOCA-18,TIO-540-J2B2,2,BE88-A,
BE95   (Beech 95 Travel Air),FOCA-7,O-360-A3A,2,BE95-A,
BER2   (Beriev Be-200 Altair),13ZM003,D-436-148 F1,2,BER2-A,
BL17   (Bellanca Super Viking),FOCA-4,IO-550-B,1,BL17-A,
BL8   (American Champion 8 Super Decathlon),FOCA-7,O-360-A3A,1,BL8-A,
BLCF   (Boeing 747-400LCF Dreamlifter),1PW042,PW4056,4,BLCF-A,
BN2P   (Britten-Norman Islander),FOCA-3,IO-540-T4A5D,2,BN2P-A,
BRAV   (Tecnam P-2004 Bravo),FOCA-15,Rotax 912S,1,BRAV-A,
BT36   (Beech B36TC Bonanza),FOCA-20,TSIO-520-WB,1,BT36-A,
BUCA   (Advanced Aviation Buccaneer),FOCA-13,Rotax 582 DCDI,1,BUCA-A,
BX2   (Brandli BX-2 Cherry),FOCA-5,O-200,1,BX2-A,
C02T   (Cessna 402 (turbine)),FOCA-20,TSIO-520-WB,2,C02T-A,
C04T   (Cessna 404 (turbine)),FOCA-20,TSIO-520-WB,2,C04T-A,
C06T   (Cessna 206 (turbine)),FOCA-18,TIO-540-J2B2,1,C06T-A,
C07T   (Cessna 207 (turbine)),FOCA-4,IO-550-B,1,C07T-A,
C10T   (Cessna P210 (turbine)),FOCA-20,TSIO-520-WB,1,C10T-A,
C120   (Cessna 120),FOCA-5,O-200,1,C120-A,
C125   (Northrop C-125 Raider),FOCA-9,Generic (>500hp),3,C125-A,
C150   (Cessna 150 Commuter),FOCA-5,O-200,1,C150-A,
C152   (Cessna A152 Aerobat),FOCA-5,O-200,1,C152-A,
