MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3E+12,2E+11,40000,20000,20210323_2056,B_06,0,0,0,0,0,0,0,0,13790,6236,0,21319413.05,694.8254757,19380,108,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2057,XB03_DATA,0,0,0,0,0,0,0,0,15148,6955,103,25341882.95,798.6841307,19740,109,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2058,XB01_DATA,0,0,0,0,0,0,0,0,16173,6905,57,19643490.15,850.8803833,19860,106,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2059,B_01,0,0,0,0,0,0,0,0,14558,6316,0,17665145.4,867.7091627,19380,108,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2054,X02_DATA,0,0,0,0,0,0,0,0,0,673,45,1901354.9,596.3435616,0,8,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2054,X04_DATA,0,0,0,0,0,0,0,0,0,807,0,2610245.1,623.441565,0,1,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2100,B_08,0,0,0,0,0,0,0,0,14640,6776,0,21076305.95,955.8308122,21360,103,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2055,X01_DATA,0,0,0,0,0,0,0,0,14865,673,45,2494568.9,663.8771141,42240,8,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2102,XA02_DATA,0,0,0,0,0,0,0,0,28743,10121,46,13833714.8,1066.772143,127680,80,-1,10
901,60,3E+12,2E+11,40000,20000,20210323_2102,XA04_DATA,0,0,0,0,0,0,0,0,23911,9384,46,16777705.95,1071.274986,127680,80,-1,10
901,60,3E+12,2E+11,40000,20000,20210323_2102,A05_6088570,0,0,0,0,0,0,0,0,30186,9727,0,12550502.05,1079.44659,123660,57,-1,13
901,60,3E+12,2E+11,40000,20000,20210323_2101,B_03,0,0,0,0,0,0,0,0,16428,6496,0,17421103.75,1045.05452,21360,103,-1,0
901,60,3E+12,2E+11,40000,20000,20210323_2102,A10_6088590,0,0,0,0,0,0,0,0,27642,9074,0,15199959.15,1085.423069,123660,57,-1,13
